name,type,tier,ingest_method,official_url,url_confidence,notes
NSFAS,bursary,1_official,scrape,https://www.nsfas.org.za,high,Biggest govt funder. Point collector at bursary/application section.
DHET,bursary,1_official,scrape,https://www.dhet.gov.za,high,Dept of Higher Ed. Announcements often PDF - expect OCR path.
Funza Lushaka,bursary,1_official,scrape,https://www.funzalushaka.doe.gov.za,medium,Teaching bursary. Confirm current live domain.
Sasol Foundation,bursary,1_official,scrape,https://www.sasol.com,high,Locate the bursary/careers page; you already publish this one.
Eskom,bursary,1_official,scrape,https://www.eskom.co.za,high,Careers/bursaries section.
Transnet,bursary,1_official,scrape,https://www.transnet.net,high,Careers/bursaries section.
Anglo American,bursary,1_official,scrape,https://www.angloamerican.com,high,Engineering/mining bursaries; work-back obligation.
Kumba Iron Ore,bursary,1_official,scrape,https://www.angloamericankumba.com,medium,Anglo subsidiary. Confirm bursary page.
ABSA,bursary,1_official,scrape,https://www.absa.co.za,high,Careers/bursaries.
Investec,bursary,1_official,scrape,https://www.investec.com,high,Bursary/CSI section.
Standard Bank,bursary,1_official,scrape,https://www.standardbank.co.za,high,Careers/bursaries.
Nedbank,bursary,1_official,scrape,https://www.nedbank.co.za,high,Careers/bursaries.
FirstRand / FNB,bursary,1_official,scrape,https://www.firstrand.co.za,high,FirstRand Empowerment Foundation admin via StudyTrust.
Old Mutual,bursary,1_official,scrape,https://www.oldmutual.co.za,high,Multiple streams (actuarial / CA / OMET) - register separately if needed.
Sanlam,bursary,1_official,scrape,https://www.sanlam.co.za,high,Actuarial bursary.
Momentum,bursary,1_official,scrape,https://www.momentum.co.za,high,Investments bursary.
Capitec,bursary,1_official,scrape,https://www.capitecbank.co.za,high,General + Quantitative Skills streams.
Shoprite Group,bursary,1_official,scrape,https://www.shopriteholdings.co.za,high,Accounting/agri/retail/supply chain.
Coronation,bursary,1_official,scrape,https://www.coronation.com,high,Exceptional Student Bursary.
Ninety One,bursary,1_official,scrape,https://www.ninetyone.com,high,Changeblazer bursary.
Allan Gray Orbis Foundation,bursary,1_official,scrape,https://www.allangrayorbis.org,high,Fellowship at partner universities.
Mastercard Foundation,bursary,1_official,scrape,https://mastercardfdn.org,high,Scholars Program.
Telkom Foundation,bursary,1_official,scrape,https://www.telkom.co.za,medium,Telkom Foundation bursary; confirm page.
Land Bank,bursary,1_official,scrape,https://www.landbank.co.za,high,Agriculture bursary; administered in-house.
PPS Foundation,bursary,1_official,scrape,https://www.pps.co.za,medium,Confirm foundation/bursary page.
Genesis Analytics,bursary,1_official,scrape,https://www.genesis-analytics.com,medium,GEFT postgraduate bursary.
Hollywood Foundation,bursary,1_official,scrape,https://hollywoodfoundation.co.za,high,Future is Bright bursary; you already publish this.
Hortgro,bursary,1_official,scrape,https://www.hortgro.co.za,high,Agri bursary; you already publish this.
SAICA Thuthuka,bursary,1_official,scrape,https://www.saica.org.za,high,High-demand CA bursary.
SAIPA,bursary,1_official,scrape,https://www.saipa.co.za,medium,Accounting scholarship.
StudyTrust,bursary,1_official,scrape,https://www.studytrust.org.za,high,Administers many programmes - one source, many opportunities.
IDC,bursary,1_official,scrape,https://www.idc.co.za,high,External Bursary Scheme; you already publish this.
